paper_id,title,summary,authors,categories,primary_category,published,updated,abs_url,pdf_url,comment,authors_joined,categories_joined,summary_chars,text_for_embedding,published_dt,age_days
Summary: <jats:p>Retrieval-Augmented Generation (RAG) has emerged as a transformative approach for enhanc-ing large language models (LLMs) by integrating external knowledge sources to address limitations in parametric knowledge and factual accuracy. The survey offers a detailed comparative study of RAG methods in dense retrieval, sparse retrieval, and hybrid approaches and their performance on knowledge-intensive tasks. Through systematic evaluation of 85 recent studies (2020-2024), we present empirical comparisons showing that hybrid RAG systems achieve 15-35% performance im-provements over baseline LLMs on question answering tasks, while dense retrieval methods demon-strate superior semantic understanding capabilities. We find that although RAG systems promise much, their current approach is limited by computational efficiency, retrieval precision, and stan-dardization of evaluation. We propose an integrated assessment system and outline five essential future avenues, including multi-modal RAG combination and adaptive retrieval schemes.</jats:p> NOISY_DATA_INJECTION_12345",2025-12-19 00:00:00+00:00,173
10.1051/e3sconf/202668908004,A large language model-based framework with retrieval-augmented generation for automated building energy modeling,,"['Yake Zhang', 'Peng Xu']",[],,2026,2026,https://doi.org/10.1051/e3sconf/202668908004,,,Yake Zhang; Peng Xu,,1411,"Title: A large language model-based framework with retrieval-augmented generation for automated building energy modeling
Authors: Yake Zhang; Peng Xu
Categories: 
Summary: ",2026-01-01 00:00:00+00:00,160
10.2139/ssrn.6271858,Agentic AI...,"<jats:p>The proliferation of agentic artificial intelligence systems-characterized by autonomous goal-seeking, tool use, and multi-agent coordination-presents unprecedented challenges to existing legal and financial regulatory frameworks. While traditional AI governance has focused on model-level alignment through training-time interventions such as Reinforcement Learning from Human Feedback (RLHF), the deployment of large language models (LLMs) as persistent agents embedded within socio-technical systems necessitates a paradigm shift toward institutional governance structures. This paper examines the intersection of agentic AI, Retrieval-Augmented Generation (RAG), and their implications for legal accountability and financial market integrity. Through a comprehensive analysis of the Institutional AI framework proposed by Pierucci et al. [1], we argue that alignment must be reconceptualized as a mechanism design problem involving runtime governance graphs, sanction functions, and observable behavioral constraints rather than internalized constitutional values. We address the critical deficit identified by LeCun regarding the absence of world models in current agents, demonstrating how RAG architectures function as externalized epistemic infrastructure that grounds agentic cognition in verifiable data repositories. The paper subsequently interrogates the legal implications of these systems under the European Union's Artificial Intelligence Act (EU AI Act) and the regulatory thresholds established by the Financial Conduct Authority (FCA) and European Central Bank (ECB), proposing justified compliance boundaries for high-risk financial applications. Furthermore, we acknowledge significant governance gaps within Decentralized Finance (DeFi) protocols where institutional oversight mechanisms face structural limitations. By synthesizing technical insights from multi-agent systems, constitutional AI limitations, and offensive security frameworks, this work advances a jurisprudential foundation for agentic AI that prioritizes defensible audit trails, incentive-compatible compliance, and systemic stability over opaque internal alignment guarantees. The analysis concludes that the future of AI governance lies not in perfecting isolated model behavior, but in architecting institutional environments where compliant behavior emerges as the dominant strategy through carefully calibrated payoff landscapes.</jats:p>",['Marcel Osmond'],[],,2026,2026,https://doi.org/10.2139/ssrn.6271858,,,Marcel Osmond,,2443,"Title: Agentic AI...
Authors: Marcel Osmond
Categories: 
Summary: <jats:p>The proliferation of agentic artificial intelligence systems-characterized by autonomous goal-seeking, tool use, and multi-agent coordination-presents unprecedented challenges to existing legal and financial regulatory frameworks. While traditional AI governance has focused on model-level alignment through training-time interventions such as Reinforcement Learning from Human Feedback (RLHF), the deployment of large language models (LLMs) as persistent agents embedded within socio-technical systems necessitates a paradigm shift toward institutional governance structures. This paper examines the intersection of agentic AI, Retrieval-Augmented Generation (RAG), and their implications for legal accountability and financial market integrity. Through a comprehensive analysis of the Institutional AI framework proposed by Pierucci et al. [1], we argue that alignment must be reconceptualized as a mechanism design problem involving runtime governance graphs, sanction functions, and observable behavioral constraints rather than internalized constitutional values. We address the critical deficit identified by LeCun regarding the absence of world models in current agents, demonstrating how RAG architectures function as externalized epistemic infrastructure that grounds agentic cognition in verifiable data repositories. The paper subsequently interrogates the legal implications of these systems under the European Union's Artificial Intelligence Act (EU AI Act) and the regulatory thresholds established by the Financial Conduct Authority (FCA) and European Central Bank (ECB), proposing justified compliance boundaries for high-risk financial applications. Furthermore, we acknowledge significant governance gaps within Decentralized Finance (DeFi) protocols where institutional oversight mechanisms face structural limitations. By synthesizing technical insights from multi-agent systems, constitutional AI limitations, and offensive security frameworks, this work advances a jurisprudential foundation for agentic AI that prioritizes defensible audit trails, incentive-compatible compliance, and systemic stability over opaque internal alignment guarantees. The analysis concludes that the future of AI governance lies not in perfecting isolated model behavior, but in architecting institutional environments where compliant behavior emerges as the dominant strategy through carefully calibrated payoff landscapes.</jats:p>",2026-01-01 00:00:00+00:00,160
10.64898/2026.01.24.26344477,A retrieval-augmented generation large language model framework for accurate dementia identification from electronic health records,"<jats:title>Abstract</jats:title> <jats:sec> <jats:title>Objective</jats:title> <jats:p>Accurate and scalable dementia phenotyping from electronic health records (EHRs) is foundational for population-level research, risk prediction, and learning health system interventions. Traditional rule- and keyword-based approaches are limited by inconsistent documentation and inability to capture clinical nuance. We aim to develop and evaluate a framework that leverages large language models (LLMs) with retrieval-augmented generation (RAG) to overcome these limitations and improve dementia identification from real-world EHR data.</jats:p> </jats:sec> <jats:sec> <jats:title>Methods</jats:title> <jats:p>Using EHR data from the Mass General Brigham health system, we first assembled a cohort of adults with potential dementia based on diagnosis codes, problem lists, dementia-related medications, and free-text note mentions. A subset of candidate cases underwent detailed manual chart review to assign gold-standard dementia status. With this labeled sample, we implemented and compared three approaches for dementia ascertainment: (1) a rule-based classifier leveraging structured EHR data, (2) large language models (LLMs) applied to keyword-filtered clinical note excerpts, and (3) a RAG-based LLM framework that integrates retrieved, context-rich note snippets. Within each approach, we evaluated multiple configurations of embedding models, retrieval methods, LLMs, structured-data inclusion, and prompts to identify the best-performing classifier. Performance was assessed using standard classification metrics, including sensitivity, specificity, positive predictive value (PPV), and F1 score, and supplemented by qualitative error analyses to characterize common sources of false positives and false negatives across methods.</jats:p> </jats:sec> <jats:sec> <jats:title>Results</jats:title> <jats:p>The RAG-based classifier achieved the highest performance (F1=0.933, sensitivity=91.1%, PPV=95.5%) compared to rule-based (F1=0.823, sensitivity=81.1%, PPV=83.5%) and keyword-filtered LLM (F1=0.903, sensitivity=91.7%, PPV=88.6%). Including ICD codes alongside free text in the RAG-based LLM pipeline significantly reduced the PPV and modestly decreased F-1 score. Error analysis revealed that structured-code dependence contributed to false positives, whereas unrecognized contextual cues in notes drove false negatives.</jats:p> </jats:sec> <jats:sec> <jats:title>Conclusion</jats:title> <jats:p>A RAG-based LLM pipeline without structured ICD codes improved dementia ascertainment from EHR data compared with ICD-based rules and keyword-based filtering. This approach can enhance dementia case identification and support patient care, predictive modeling and risk analysis.</jats:p> </jats:sec> NOISY_DATA_INJECTION_12345","['Liqin Wang', 'Baoren Liu', 'Richard Yang', 'Ya-Wen Chuang', 'Hossein Estiri', 'Shawn Murphy', 'Li Zhou', 'Gad A. Marshall']",[],,2026-01-25,2026-01-25,https://doi.org/10.64898/2026.01.24.26344477,,,Liqin Wang; Baoren Liu; Richard Yang; Ya-Wen Chuang; Hossein Estiri; Shawn Murphy; Li Zhou; Gad A. Marshall,,2800,"Title: A retrieval-augmented generation large language model framework for accurate dementia identification from electronic health records
Authors: Liqin Wang; Baoren Liu; Richard Yang; Ya-Wen Chuang; Hossein Estiri; Shawn Murphy; Li Zhou; Gad A. Marshall
Categories: 
Summary: <jats:title>Abstract</jats:title> <jats:sec> <jats:title>Objective</jats:title> <jats:p>Accurate and scalable dementia phenotyping from electronic health records (EHRs) is foundational for population-level research, risk prediction, and learning health system interventions. Traditional rule- and keyword-based approaches are limited by inconsistent documentation and inability to capture clinical nuance. We aim to develop and evaluate a framework that leverages large language models (LLMs) with retrieval-augmented generation (RAG) to overcome these limitations and improve dementia identification from real-world EHR data.</jats:p> </jats:sec> <jats:sec> <jats:title>Methods</jats:title> <jats:p>Using EHR data from the Mass General Brigham health system, we first assembled a cohort of adults with potential dementia based on diagnosis codes, problem lists, dementia-related medications, and free-text note mentions. A subset of candidate cases underwent detailed manual chart review to assign gold-standard dementia status. With this labeled sample, we implemented and compared three approaches for dementia ascertainment: (1) a rule-based classifier leveraging structured EHR data, (2) large language models (LLMs) applied to keyword-filtered clinical note excerpts, and (3) a RAG-based LLM framework that integrates retrieved, context-rich note snippets. Within each approach, we evaluated multiple configurations of embedding models, retrieval methods, LLMs, structured-data inclusion, and prompts to identify the best-performing classifier. Performance was assessed using standard classification metrics, including sensitivity, specificity, positive predictive value (PPV), and F1 score, and supplemented by qualitative error analyses to characterize common sources of false positives and false negatives across methods.</jats:p> </jats:sec> <jats:sec> <jats:title>Results</jats:title> <jats:p>The RAG-based classifier achieved the highest performance (F1=0.933, sensitivity=91.1%, PPV=95.5%) compared to rule-based (F1=0.823, sensitivity=81.1%, PPV=83.5%) and keyword-filtered LLM (F1=0.903, sensitivity=91.7%, PPV=88.6%). Including ICD codes alongside free text in the RAG-based LLM pipeline significantly reduced the PPV and modestly decreased F-1 score. Error analysis revealed that structured-code dependence contributed to false positives, whereas unrecognized contextual cues in notes drove false negatives.</jats:p> </jats:sec> <jats:sec> <jats:title>Conclusion</jats:title> <jats:p>A RAG-based LLM pipeline without structured ICD codes improved dementia ascertainment from EHR data compared with ICD-based rules and keyword-based filtering. This approach can enhance dementia case identification and support patient care, predictive modeling and risk analysis.</jats:p> </jats:sec> NOISY_DATA_INJECTION_12345",2026-01-25 00:00:00+00:00,136
10.35314/3y9hy151,Implementation of Retrieval-Augmented Generation Method on Large Language Model for Development of Campus Service and Information Chatbot,"<jats:p>Large language models have the potential to improve the quality of information services in higher education environments through responsive and natural interactions. However, LLMs are prone to generating answers that are not supported by valid knowledge sources due to knowledge cut-off limitations. This study implements Retrieval-Augmented Generation on LLMs to build an information service chatbot for the Indonesian University of Science and Technology (USTI). RAG is built using a hybrid retrieval mechanism that combines dense retrieval and sparse retrieval (BM25) through reciprocal rank fusion and is equipped with cross-encoder reranking. The knowledge base is compiled from official and public documents obtained through the USTI website. The evaluation was conducted using 13 test queries by comparing several configurations to analyze the contribution of each component. The evaluation results show that the hybrid retrieval configuration produces the best retrieval performance with Precision@3 of 71.7%, Recall@3 of 87.5%, and NDCG@3 of 96.3%. In addition, the application of RAG improved the quality of answers compared to LLM without retrieval, as shown by an increase in BERTScore-F1 from 84.8% to 89.4% and a faithfulness score of 88.8%. These findings indicate that RAG integration improves the relevance of LLM answers to source documents, with the hybrid configuration providing an optimal balance between retrieval quality and faithfulness.</jats:p>","['Muhammad Dzaki Salman', 'Rahmaddeni', 'Torkis Nasution', 'Susanti']",[],,2026-02-26,2026-02-26,https://doi.org/10.35314/3y9hy151,https://jurnal.polbeng.ac.id/index.php/ISI/article/download/1484/655,,Muhammad Dzaki Salman; Rahmaddeni; Torkis Nasution; Susanti,,1479,"Title: Implementation of Retrieval-Augmented Generation Method on Large Language Model for Development of Campus Service and Information Chatbot
Authors: Muhammad Dzaki Salman; Rahmaddeni; Torkis Nasution; Susanti
Categories: 
Summary: <jats:p>Large language models have the potential to improve the quality of information services in higher education environments through responsive and natural interactions. However, LLMs are prone to generating answers that are not supported by valid knowledge sources due to knowledge cut-off limitations. This study implements Retrieval-Augmented Generation on LLMs to build an information service chatbot for the Indonesian University of Science and Technology (USTI). RAG is built using a hybrid retrieval mechanism that combines dense retrieval and sparse retrieval (BM25) through reciprocal rank fusion and is equipped with cross-encoder reranking. The knowledge base is compiled from official and public documents obtained through the USTI website. The evaluation was conducted using 13 test queries by comparing several configurations to analyze the contribution of each component. The evaluation results show that the hybrid retrieval configuration produces the best retrieval performance with Precision@3 of 71.7%, Recall@3 of 87.5%, and NDCG@3 of 96.3%. In addition, the application of RAG improved the quality of answers compared to LLM without retrieval, as shown by an increase in BERTScore-F1 from 84.8% to 89.4% and a faithfulness score of 88.8%. These findings indicate that RAG integration improves the relevance of LLM answers to source documents, with the hybrid configuration providing an optimal balance between retrieval quality and faithfulness.</jats:p>",2026-02-26 00:00:00+00:00,104
10.36085/jsai.v9i1.9632,Metode Retrieval-Augmented Generation dalam Pengembangan Chatbot Large Language Model pada Service Informasi Publik Disdukcapil Anambas,"<jats:p>Layanan administrasi kependudukan di Kabupaten Kepulauan Anambas menghadapi tantangan besar terkait keterbatasan akses informasi yang disebabkan oleh kondisi geografis. Informasi layanan pada website resmi Disdukcapil yang bersifat pasif seringkali menyulitkan masyarakat untuk memperoleh jawaban yang cepat dan relevan. Kondisi ini berakibat pada penumpukan antrean layanan dan berpotensi menurunkan kepuasan publik. Sebagai solusi, sebuah aplikasi chatbot cerdas berbasis Large Language Model (LLM) dengan pendekatan Retrieval-Augmented Generation (RAG) telah dikembangkan. Metode ini secara efektif menggabungkan kemampuan pencarian informasi presisi dari basis data dokumen dengan kemampuan LLM dalam memahami bahasa alami untuk menghasilkan jawaban kontekstual. Proses pengembangan sistem ini dilakukan menggunakan framework LangChain, vector store ChromaDB, dan diintegrasikan ke antarmuka web sebagai frontend. Informasi layanan resmi Disdukcapil diproses melalui tahapan chunking, embedding, hingga pembuatan pipeline RAG. Hasil penelitian menunjukkan bahwa chatbot mampu merespons pertanyaan layanan kependudukan secara akurat dan efisien. Berdasarkan evaluasi menggunakan metrik BERTScore, sistem memperoleh rata-rata skor Precision sebesar 98,5%, Recall sebesar 99,1%, dan F1-Score sebesar 98,8%. Sistem ini dapat diakses dari mana saja, sangat membantu masyarakat di wilayah terpencil, dan menjadi prototipe awal yang potensial untuk mendukung digitalisasi pelayanan publik di daerah kepulauan.</jats:p> NOISY_DATA_INJECTION_12345","['Muhammad Habsyi Mubarak', 'Joko Sutopo']",[],,1900-01-01,2025-12-30,https://doi.org/10.36085/jsai.v9i1.9632,https://jurnal.umb.ac.id/index.php/JSAI/article/download/9632/5621,,Muhammad Habsyi Mubarak; Joko Sutopo,,1523,"Title: Metode Retrieval-Augmented Generation dalam Pengembangan Chatbot Large Language Model pada Service Informasi Publik Disdukcapil Anambas
Authors: Muhammad Habsyi Mubarak; Joko Sutopo
Categories: 
Summary: <jats:p>Layanan administrasi kependudukan di Kabupaten Kepulauan Anambas menghadapi tantangan besar terkait keterbatasan akses informasi yang disebabkan oleh kondisi geografis. Informasi layanan pada website resmi Disdukcapil yang bersifat pasif seringkali menyulitkan masyarakat untuk memperoleh jawaban yang cepat dan relevan. Kondisi ini berakibat pada penumpukan antrean layanan dan berpotensi menurunkan kepuasan publik. Sebagai solusi, sebuah aplikasi chatbot cerdas berbasis Large Language Model (LLM) dengan pendekatan Retrieval-Augmented Generation (RAG) telah dikembangkan. Metode ini secara efektif menggabungkan kemampuan pencarian informasi presisi dari basis data dokumen dengan kemampuan LLM dalam memahami bahasa alami untuk menghasilkan jawaban kontekstual. Proses pengembangan sistem ini dilakukan menggunakan framework LangChain, vector store ChromaDB, dan diintegrasikan ke antarmuka web sebagai frontend. Informasi layanan resmi Disdukcapil diproses melalui tahapan chunking, embedding, hingga pembuatan pipeline RAG. Hasil penelitian menunjukkan bahwa chatbot mampu merespons pertanyaan layanan kependudukan secara akurat dan efisien. Berdasarkan evaluasi menggunakan metrik BERTScore, sistem memperoleh rata-rata skor Precision sebesar 98,5%, Recall sebesar 99,1%, dan F1-Score sebesar 98,8%. Sistem ini dapat diakses dari mana saja, sangat membantu masyarakat di wilayah terpencil, dan menjadi prototipe awal yang potensial untuk mendukung digitalisasi pelayanan publik di daerah kepulauan.</jats:p> NOISY_DATA_INJECTION_12345",2025-12-30 00:00:00+00:00,162
10.4081/jae.2026.1908,Empowering farmers with artificial intelligence: a retrieval-augmented generation based large language model advisory framework,"<jats:p>This study presents a retrieval augmented generation (RAG) based system designed to provide farmers with expert agricultural advisory services. The framework delivers context aware guidance on critical practices such as crop cultivation, pest and disease management, fertilizer application, and other agronomic practices, and compares the performance of four large language models (LLMs) in generating these recommendations. The system processes package of practices (PoP) documents for five major crops maize, ragi, sweet potato, cotton, and groundnut through semantic chunking and embedding using Amazon Titan via BedrockEmbeddings. Vector representations are indexed in ChromaDB to enable efficient similarity search for query-relevant content retrieval. Upon receiving user queries, the system retrieves the most semantically similar document chunks and incorporates them into structured prompts. Four LLMs such as Llama3.1, Mistral, Phi3, and Qwen2.5 were evaluated for their effectiveness in generating accurate agricultural recommendations. Performance was evaluated across multiple dimensions. Relevance and retrieval were assessed using precision@K, recall@K, mean reciprocal rank (MRR), and normalized discounted cumulative gain (NDCG). Lexical overlap was measured with the bilingual evaluation understudy (BLEU) and recall-oriented understudy for gisting evaluation (ROUGE-1, ROUGE-2, ROUGE-L) metrics. Semantic quality was analyzed using Bidirectional Encoder Representations from transformers score (BERTScore) precision, recall, F1, semantic similarity and faithfulness to capture contextual alignment between generated and reference responses. Source attribution was assessed through the attribution score, while efficiency was measured using retrieval time, generation time, and total time. Overall, mistral and Qwen2.5 achieved the highest performance, demonstrating superior relevance, semantic quality, and efficiency. This evaluation highlights which LLMs perform best for the agricultural domain and illustrates the potential of knowledge-grounded AI systems to democratize agricultural expertise, particularly in regions with limited access to traditional advisory services.</jats:p>","['Shreeram Sawant', 'Rahul Nair', 'Siddharth Hariharan']",[],,2026-01-27,2026-01-27,https://doi.org/10.4081/jae.2026.1908,https://www.agroengineering.org/jae/article/download/1908/1426,,Shreeram Sawant; Rahul Nair; Siddharth Hariharan,,2214,"Title: Empowering farmers with artificial intelligence: a retrieval-augmented generation based large language model advisory framework
Authors: Shreeram Sawant; Rahul Nair; Siddharth Hariharan
Categories: 
Summary: <jats:p>This study presents a retrieval augmented generation (RAG) based system designed to provide farmers with expert agricultural advisory services. The framework delivers context aware guidance on critical practices such as crop cultivation, pest and disease management, fertilizer application, and other agronomic practices, and compares the performance of four large language models (LLMs) in generating these recommendations. The system processes package of practices (PoP) documents for five major crops maize, ragi, sweet potato, cotton, and groundnut through semantic chunking and embedding using Amazon Titan via BedrockEmbeddings. Vector representations are indexed in ChromaDB to enable efficient similarity search for query-relevant content retrieval. Upon receiving user queries, the system retrieves the most semantically similar document chunks and incorporates them into structured prompts. Four LLMs such as Llama3.1, Mistral, Phi3, and Qwen2.5 were evaluated for their effectiveness in generating accurate agricultural recommendations. Performance was evaluated across multiple dimensions. Relevance and retrieval were assessed using precision@K, recall@K, mean reciprocal rank (MRR), and normalized discounted cumulative gain (NDCG). Lexical overlap was measured with the bilingual evaluation understudy (BLEU) and recall-oriented understudy for gisting evaluation (ROUGE-1, ROUGE-2, ROUGE-L) metrics. Semantic quality was analyzed using Bidirectional Encoder Representations from transformers score (BERTScore) precision, recall, F1, semantic similarity and faithfulness to capture contextual alignment between generated and reference responses. Source attribution was assessed through the attribution score, while efficiency was measured using retrieval time, generation time, and total time. Overall, mistral and Qwen2.5 achieved the highest performance, demonstrating superior relevance, semantic quality, and efficiency. This evaluation highlights which LLMs perform best for the agricultural domain and illustrates the potential of knowledge-grounded AI systems to democratize agricultural expertise, particularly in regions with limited access to traditional advisory services.</jats:p>",2026-01-27 00:00:00+00:00,134
